"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"HP40",1,0,0,999.99,29.25,0.74,0,1.2,10
"HP50",2,0,0.003,427.77,31.67,0.74,0,0.8,33
"HP51",3,0,0.003,587.52,30.5,0.74,0,0.8,33
"HP60",4,0,0.003,532.71,34.3,0.74,0,0.8,32
"HP61",5,0,0.003,414.56,35.1,0.74,0,0.8,32
"HP62",6,0,0.004,559.37,25,0.74,0,1.2,9
"HT93",7,0,0.004,743.91,26.37,0.74,0,1.4,17
"HT94",8,0,0.004,401.12,27.11,0.74,0,1,9
"HU06",9,0,0.004,999.99,30.22,0.74,0,2.8,10
"HU14",10,0,0.002,622.69,34.43,0.74,0,0.8,33
"HU15",11,0,0.003,439.87,32.41,0.74,0,0.8,33
"HU16",12,0,0.003,567.8,32.46,0.74,0,0.9,19
"HU24",13,0,0.003,420.47,32.03,0.74,0,0.8,33
"HU25",14,0,0.004,453.02,31.37,0.74,0,1,12
"HU26",15,0,0.001,999.99,41.93,0.74,0,0.7,31
"HU27",16,0,0.001,999.99,40.59,0.74,0,0.7,31
"HU28",17,0,0.002,653.54,28.35,0.74,0,0.9,25
"HU30",18,0,0,999.99,41.81,0.74,0,0.8,32
"HU31",19,0,0,999.99,42.27,0.74,0,0.8,31
"HU32",20,0,0.003,540,30.56,0.74,0,0.8,32
"HU33",21,0,0.003,473.86,35.13,0.74,0,0.8,32
"HU34",22,0,0.004,400.33,32.43,0.74,0,0.8,33
"HU35",23,0,0.002,894.21,29.46,0.74,0,1,12
"HU36",24,0,0.004,411.44,33.74,0.74,0,0.9,21
"HU37",25,0,0.004,444.65,34.83,0.74,0,0.9,29
"HU38",26,0,0.006,288.52,24.86,0.74,0,1,14
"HU39",27,0,0.004,384.37,31.07,0.74,0,0.8,32
"HU40",28,0,0,999.99,41.83,0.74,0,0.7,31
"HU41",29,0,0.001,911.08,39.33,0.74,0,0.7,32
"HU42",30,0,0.002,651.26,35.71,0.74,0,0.7,32
"HU43",31,0,0.003,486.86,30.36,0.74,0,0.8,32
"HU44",32,0,0.004,336.71,29.88,0.74,0,0.8,33
"HU45",33,0,0.001,999.99,30.78,0.74,0,0.9,21
"HU46",34,0,0,999.99,29.42,0.74,0,1.1,10
"HU47",35,0,0.001,999.99,31.27,0.74,0,1,13
"HU48",36,0,0,999.99,29.55,0.74,0,1,11
"HU49",37,0,0,999.99,28.67,0.74,0,1.2,10
"HU53",38,0,0,999.99,30.74,0.74,0,0.8,32
"HU54",39,0,0.003,524.44,36.12,0.74,0,0.8,32
"HU55",40,0,0.002,736.09,40.25,0.74,0,0.7,31
"HU56",41,0,0.001,999.99,41.87,0.74,0,0.7,31
"HU57",42,0,0.002,748.13,40.51,0.74,0,0.7,31
"HU58",43,0,0,999.99,29.3,0.74,0,1,11
"HU59",44,0,0,999.99,28.63,0.74,0,0.9,18
"HU66",45,0,0.002,944.64,39.71,0.74,0,0.8,33
"HU67",46,0,0.002,741.36,40.09,0.74,0,0.7,31
"HU68",47,0,0.004,391.01,33.1,0.74,0,0.8,32
"HU69",48,0,0.003,526.48,36.81,0.74,0,0.8,32
"HU77",49,0,0.003,485,31.43,0.74,0,0.9,16
"HY10",50,0,0.035,67.37,25.73,0.74,0.1,2.6,4
"HY20",51,0,0.026,118.13,32.99,0.74,0,1.8,8
"HY21",52,0,0.002,999.99,41.72,0.74,0,2.6,15
"HY22",53,0,0.002,849.81,42.34,0.74,0,1,9
"HY23",54,0,0.001,999.99,42.19,0.74,0,2.3,10
"HY30",55,0,0.013,164.47,37.3,0.74,0,1.9,10
"HY31",56,0,0.002,999.99,43.23,0.74,0,1.2,6
"HY32",57,0,0.006,371.2,37.64,0.74,0,1.7,9
"HY33",58,0,0,999.99,40.49,0.74,0,1.5,31
"HY34",59,0,0.002,999.99,37.59,0.74,0,2.8,8
"HY35",60,0,0.021,284.58,19.62,0.74,0,3,7
"HY40",61,0,0.002,616.2,43.19,0.74,0,0.8,32
"HY41",62,0,0.003,574.19,42.24,0.74,0,0.8,33
"HY42",63,0,0.001,999.99,42.48,0.74,0,1.6,32
"HY43",64,0,0,999.99,44.11,0.74,0,1.3,9
"HY44",65,0,0.001,999.99,43.4,0.739,0,2.2,101
"HY45",66,0,0,999.99,43.77,0.74,0,1,8
"HY50",67,0,0.003,541.32,42.81,0.74,0,0.9,29
"HY51",68,0,0.002,606.34,42.65,0.74,0,0.8,33
"HY52",69,0,0.001,999.99,41.8,0.74,0,1,7
"HY53",70,0,0.001,999.99,42.55,0.74,0,2.8,21
"HY54",71,0,0.001,999.99,42.51,0.74,0,1.1,8
"HY55",72,0,0,999.99,44.69,0.74,0,0.7,31
"HY60",73,0,0.009,211.63,38.62,0.74,0,1,7
"HY61",74,0,0.002,677.27,43.11,0.74,0,0.8,33
"HY62",75,0,0.001,999.99,41.11,0.74,0,1.2,8
"HY63",76,0,0.001,999.99,41.13,0.74,0,0.9,7
"HY64",77,0,0.001,999.99,42.07,0.74,0,1,10
"HY73",78,0,0.003,999.99,31.02,0.74,0,2.8,9
"HY74",79,0,0.001,999.99,39.63,0.74,0,0.9,23
"HY75",80,0,0,999.99,39,0.74,0,0.9,22
"NA81",81,0,0.002,999.99,32.61,0.74,0,2.6,13
"NA90",82,0,0.006,272.14,32.83,0.74,0,1.5,32
"NA91",83,0,0.017,113.81,24.16,0.74,0.1,3.9,18
"NA92",84,0,0.003,550.58,37.08,0.74,0,1.1,7
"NA93",85,0,0.001,999.99,30.13,0.74,0,2.4,25
"NB00",86,0,0.005,351.54,39.12,0.74,0,1.8,26
"NB01",87,0,0.007,227.47,34.06,0.74,0,2.1,33
"NB02",88,0,0.001,999.99,37.82,0.74,0,2.1,24
"NB03",89,0,0.001,999.99,40.09,0.74,0,1.8,8
