"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Species 1",1909,0.737,0.042,428,421,421,1902,96
"Species 18",1909,0.281,0.052,40,32,32,1444,1
"Species 19",1909,0.321,0.073,20,20,20,633,0
"Species 2",1909,1.047,0.057,524,521,521,1877,112
"Species 20",1909,0.315,0.039,74,70,70,1468,2
"Species 21",1909,0.302,0.046,47,44,44,997,0
"Species 22",1909,0.264,0.037,57,53,53,1351,0
"Species 23",1909,0.232,0.054,26,19,19,1036,0
"Species 24",1909,0.28,0.102,8,8,8,450,0
"Species 25",1909,0.302,0.067,22,21,21,582,0
"Species 26",1909,0.34,0.173,4,4,4,272,0
"Species 10",1909,0.352,0.031,149,142,142,1489,2
"Species 27",1909,0.243,0.053,22,21,21,932,0
"Species 28",1909,0.309,0.035,91,82,82,1664,2
"Species 29",1909,0.335,0.03,135,127,127,1693,0
"Species 3",1909,0.437,0.027,331,316.1,316.1,2745,49
"Species 30",1909,0.283,0.035,72,68,68,1096,0
"Species 31",1909,0.286,0.074,20,16,16,511,0
"Species 32",1909,0.443,0.044,118,111,111,1073,6
"Species 33",1909,0.257,0.038,54,47,47,1553,0
"Species 34",1909,0.353,0.028,182,173,173,1837,2
"Species 35",1909,0.313,0.034,93,90,90,1378,2
"Species 11",1909,0.34,0.1,13,12,12,389,0
"Species 36",1909,0.354,0.065,34,31,31,824,0
"Species 37",1909,0.245,0.049,34,26,26,1322,0
"Species 38",1909,0.369,0.027,219,200.1,200.1,1740,20
"Species 39",1909,0.368,0.034,138,130,130,1795,6
"Species 4",1909,0.301,0.034,93,84,84,2416,3
"Species 40",1909,0.25,0.057,22,20,20,803,0
"Species 41",1909,0.231,0.06,17,15,15,734,0
"Species 42",1909,0.374,0.029,197,181.1,181.1,2657,9
"Species 43",1909,0.405,0.157,8,7,7,232,0
"Species 44",1909,0.276,0.073,16,15,15,560,0
"Species 12",1909,0.301,0.088,14,12,12,425,0
"Species 45",1909,0.157,0.092,4,3,3,246,0
"Species 46",1909,0.278,0.051,41,33,33,1166,4
"Species 47",1909,0.254,0.061,22,18,18,1037,0
"Species 48",1909,0.263,0.047,37,33,33,1353,0
"Species 49",1909,0.278,0.126,5,5,5,264,0
"Species 5",1909,0.339,0.03,143,137,137,1645,0
"Species 50",1909,0.319,0.071,21,21,21,832,0
"Species 51",1909,0.187,0.095,7,4,4,248,0
"Species 52",1909,0.345,0.106,11,11,11,624,0
"Species 53",1909,0.174,0.101,7,3,3,433,0
"Species 13",1909,0.67,0.038,420,408.1,408.1,2102,74
"Species 54",1909,0.253,0.048,32,29,29,1103,0
"Species 55",1909,0.287,0.298,1,1,1,77,0
"Species 56",1909,0.264,0.096,9,8,8,520,0
"Species 57",1909,0.163,0.075,9,5,5,393,0
"Species 58",1909,0.103,0.104,2,1,1,130,0
"Species 59",1909,0.752,0.851,1,1,1,28,0
"Species 6",1909,0.294,0.04,63,57,57,1540,1
"Species 60",1909,0.278,0.115,7,6,6,331,0
"Species 61",1909,0.165,0.171,1,1,1,80,0
"Species 62",1909,0.271,0.28,1,1,1,50,0
"Species 14",1909,0.26,0.027,109,94.1,94.1,2165,0
"Species 64",1909,0.151,0.108,3,2,2,335,0
"Species 65",1909,0.647,0.679,1,1,1,44,0
"Species 66",1909,0.081,0.081,3,1,1,344,0
"Species 69",1909,0.001,0.01,1,0,0,136,0
"Species 7",1909,0.304,0.044,51,50,50,1112,0
"Species 70",1909,0.18,0.186,1,1,1,91,0
"Species 8",1909,0.348,0.039,89,83,83,1645,0
"Species 9",1909,0.463,0.038,168,165,165,1399,17
"Species 15",1909,0.499,0.031,335,320.1,320.1,2736,68
"Species 16",1909,0.434,0.047,103,99,99,868,18
"Species 17",1909,0.396,0.027,258,241.1,241.1,2410,22
