"SPECIES","NAME","b","a","b_std_err","b_tval","b_pval","a_std_err","a_tval","a_pval","adj_r2","r2","F_val","F_num_df","F_den_df","Ymin","Ymax","Z_VAL","SIG_95"
"S1","Species 1",-0.0193999999999998,39.1282999999997,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-2.79723653353309,TRUE
"S2","Species 10",0.00159999999999999,-2.93319999999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.247445692958848,FALSE
"S3","Species 11",-0.0126999999999999,25.5521499999998,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.640402163361492,FALSE
"S4","Species 12",-0.0277999999999998,55.4470999999996,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-1.97163120567376,TRUE
"S5","Species 13",-0.000299999999999993,1.18434999999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.0398479821271392,FALSE
"S6","Species 14",0.00649999999999995,-12.7522499999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.04621201746693,FALSE
"S7","Species 15",-0.000299999999999985,0.95434999999997,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.0509353277231268,FALSE
"S8","Species 16",0.0132999999999999,-26.0388499999998,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.26523297445095,FALSE
"S9","Species 17",0.00579999999999996,-11.2270999999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.02836232861089,FALSE
"S10","Species 18",0.00239999999999998,-4.59979999999996,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.12155989725154,FALSE
"S11","Species 19",-0.0193999999999998,38.8042999999997,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-1.36874507825702,FALSE
"S12","Species 2",-0.0243999999999998,49.5117999999996,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-2.1832758311042,TRUE
"S13","Species 20",-0.0147999999999999,29.6355999999998,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-1.64393713471636,FALSE
"S14","Species 21",0.00209999999999998,-3.98344999999997,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.168469674272375,FALSE
"S15","Species 22",-0.000699999999999992,1.59614999999998,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.0610893743027681,FALSE
"S16","Species 23",0.0485999999999996,-96.4456999999992,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.34551721907379,FALSE
"S17","Species 24",-0.0277999999999998,55.5930999999996,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.711155617639059,FALSE
"S18","Species 25",-9.99999999999949e-05,0.41644999999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.00770211247851305,FALSE
"S19","Species 27",-0.00979999999999992,19.7310999999998,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.501819020599268,FALSE
"S20","Species 28",0.00909999999999993,-17.9389499999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.15347078793172,FALSE
"S21","Species 29",0.00769999999999994,-15.0656499999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,1.13223051802446,FALSE
"S22","Species 3",0.00239999999999998,-4.39879999999996,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.416463365036283,FALSE
"S23","Species 30",0.0198999999999998,-39.3645499999997,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,2.43026529640025,TRUE
"S24","Species 31",0.0151999999999999,-30.0473999999998,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.940856380097063,FALSE
"S25","Species 32",0.0266999999999998,-52.7971499999996,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,2.65281239873879,TRUE
