"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Species 1",1984.5,0.629,0.051,200,185.1,185.1,1770,20
"Species 1",1994.5,0.435,0.047,109,101,101,1770,15
"Species 18",1984.5,0.163,0.126,4,2,2,238,0
"Species 18",1994.5,0.187,0.152,2,2,2,238,0
"Species 19",1984.5,0.305,0.117,7,7,7,396,0
"Species 19",1994.5,0.111,0.08,2,2,2,396,0
"Species 2",1984.5,1.09,0.081,269,267,267,1856,45
"Species 2",1994.5,0.846,0.077,168,165,165,1856,27
"Species 20",1984.5,0.265,0.068,18,16,16,984,0
"Species 20",1994.5,0.117,0.059,6,4,4,984,0
"Species 21",1984.5,0.184,0.083,7,5,5,662,0
"Species 21",1994.5,0.205,0.093,5,5,5,662,0
"Species 22",1984.5,0.207,0.079,8,7,7,805,0
"Species 22",1994.5,0.2,0.083,6,6,6,805,0
"Species 23",1984.5,0.001,0.012,1,0,0,235,0
"Species 23",1994.5,0.487,0.361,3,2,2,235,0
"Species 24",1984.5,0.424,0.358,2,2,2,161,0
"Species 24",1994.5,0.146,0.157,1,1,1,161,0
"Species 25",1984.5,0.218,0.084,11,7,7,381,0
"Species 25",1994.5,0.217,0.099,6,5,5,381,0
"Species 27",1984.5,0.283,0.143,4,4,4,370,0
"Species 27",1994.5,0.185,0.133,2,2,2,370,0
"Species 10",1984.5,0.242,0.041,45,36,36,1412,0
"Species 10",1994.5,0.258,0.05,33,28,28,1412,0
"Species 28",1984.5,0.12,0.04,19,9.1,9.1,1125,1
"Species 28",1994.5,0.211,0.068,17,10,10,1125,0
"Species 29",1984.5,0.215,0.04,35,29,29,1453,0
"Species 29",1994.5,0.292,0.055,38,29,29,1453,0
"Species 3",1984.5,0.364,0.036,135,117.1,117.1,2491,13
"Species 3",1994.5,0.388,0.045,97,84.1,84.1,2491,4
"Species 30",1984.5,0.127,0.039,15,11,11,867,0
"Species 30",1994.5,0.326,0.072,27,22,22,867,0
"Species 31",1984.5,0.117,0.084,4,2,2,411,0
"Species 31",1994.5,0.269,0.138,5,4,4,411,0
"Species 32",1984.5,0.189,0.047,21,17,17,870,0
"Species 32",1994.5,0.456,0.089,38,30,30,870,4
"Species 33",1984.5,0.309,0.114,8,8,8,711,0
"Species 33",1994.5,0.135,0.08,3,3,3,711,0
